model,condition,family,snr_db,n_utterances,ref_words,wer,substitution_rate,insertion_rate,deletion_rate,length_ratio,mean_cer
e_branchformer,babble_-10db,babble,-10.0,100,2357,1.7895630038184132,0.8756894357233772,0.9109036911327959,0.002969876962240136,1.9079338141705557,1.1131127485681696
e_branchformer,babble_-5db,babble,-5.0,100,2357,1.756470089096309,0.8396266440390326,0.9151463725074247,0.0016970725498515061,1.9134492999575732,1.0795343817306877
e_branchformer,babble_0db,babble,0.0,100,2357,1.4437844717861688,0.6822231650403054,0.7568943572337717,0.004666949512091642,1.7522274077216802,0.9212301859536141
e_branchformer,babble_20db,babble,20.0,100,2357,0.10861264319049639,0.03945693678404752,0.06024607551972847,0.008909630886720407,1.051336444633008,0.08273008250319108
e_branchformer,cellphone_in_crowd_-5db,cellphone_in_crowd,-5.0,100,2357,1.364022061943148,0.872719558761137,0.474331777683496,0.01697072549851506,1.457361052184981,0.8928039061111965
e_branchformer,clean,clean,,100,2357,0.08867204072974119,0.040729741196436145,0.03988120492151039,0.008061094611794654,1.0318201103097158,0.06309658617343233
e_branchformer,codec_opus_6k,codec_opus_6k,,100,2357,0.10776410691557065,0.0560033941450997,0.04327535002121341,0.00848536274925753,1.034789987271956,0.08139992285520173
e_branchformer,far_field_surveillance_-5db,far_field_surveillance,-5.0,100,2357,1.7725922783198982,0.8646584641493423,0.9019940602460755,0.005939753924480272,1.8960543063215953,1.1035715878049297
e_branchformer,noise_-10db,noise,-10.0,100,2357,0.4917267713194739,0.2804412388629614,0.07212558336868902,0.1391599490878235,0.9329656342808655,0.38385156418260274
e_branchformer,noise_-5db,noise,-5.0,100,2357,0.3385659736953755,0.22189223589308443,0.07424692405600339,0.04242681374628765,1.0318201103097158,0.25185235596753197
e_branchformer,noise_0db,noise,0.0,100,2357,0.18370810352142555,0.106491302503182,0.061094611794654224,0.01612218922358931,1.0449724225710648,0.12673705302322064
e_branchformer,noise_20db,noise,20.0,100,2357,0.0903691132795927,0.041154009333899025,0.0415782774713619,0.007636826474331778,1.0339414509970302,0.06274000110997027
e_branchformer,packet_loss_30pct,packet_loss_30pct,,100,2357,0.11455239711497667,0.0615188799321171,0.04412388629613916,0.008909630886720407,1.0352142554094188,0.07974012725798192
e_branchformer,reverb,reverb,,100,2357,0.10352142554094187,0.054306321595248196,0.04030547305897327,0.008909630886720407,1.0313958421722529,0.0711062711397009
e_branchformer,telephone,telephone,,100,2357,0.08952057700466695,0.04030547305897327,0.040729741196436145,0.00848536274925753,1.0322443784471786,0.06438186779193669
e_branchformer,walkie_talkie_0db,walkie_talkie,0.0,100,2357,0.23207467119219347,0.13661434026304625,0.07636826474331777,0.019092066185829443,1.0572761985574883,0.15116495638559482
e_branchformer-clean-ft,babble_-10db,babble,-10.0,100,2357,1.756470089096309,0.8786593126856173,0.8748408994484514,0.002969876962240136,1.8718710224862112,1.0895152229949436
e_branchformer-clean-ft,babble_-5db,babble,-5.0,100,2357,1.7212558336868902,0.8527789563003818,0.8629613915994909,0.005515485787017395,1.8574459058124735,1.0614846001012304
